company,year,cost_dollar_in_thousands,market_dollar_in_thousands
"Capital Cities Communications, Inc.",1977,10909,13228
Government Employees Insurance Company Convertible Preferred,1977,19417,33033
Government Employees Insurance Company Common Stock,1977,4116,10516
"The Interpublic Group of Companies, Inc.",1977,4531,17187
Kaiser Aluminum & Chemical Corporation,1977,11218,9981
"Kaiser Industries, Inc.",1977,778,6039
"Knight-Ridder Newspapers, Inc.",1977,7534,8736
"Ogilvy & Mather International, Inc.",1977,2762,6960
The Washington Post Company Class B,1977,10628,33401
All Other Holdings,1977,34996,41992
"American Broadcasting Companies, Inc.",1978,6082,8626
Government Employees Insurance Company Common Stock,1978,4116,9060
Government Employees Insurance Company Convertible Preferred,1978,19417,28314
"Interpublic Group of Companies, Inc.",1978,4531,19039
Kaiser Aluminum and Chemical Corporation,1978,18085,18671
"Knight-Ridder Newspapers, Inc.",1978,7534,10267
SAFECO Corporation,1978,23867,26467
The Washington Post Company,1978,10628,43445
All Other Holdings,1978,39506,57040
"Affiliated Publications, Inc.",1979,2821,8800
Amerada Hess,1979,2861,5487
"American Broadcasting Companies, Inc.",1979,6082,9673
GEICO Corp. (Common Stock),1979,28288,68045
"General Foods, Inc.",1979,11437,11053
Handy & Harman,1979,21825,38537
"Interpublic Group of Companies, Inc.",1979,4531,23736
Kaiser Aluminum & Chemical Corp.,1979,20629,23328
"Media General, Inc.",1979,4545,7345
"Ogilvy & Mather International, Inc.",1979,3709,7828
SAFECO Corporation,1979,23867,35527
The Washington Post Company,1979,10628,39241
F. W. Woolworth Company,1979,15515,19394
All Other Holdings,1979,28675,38686
"Affiliated Publications, Inc.",1980,2821,12222
Aluminum Company of America,1980,25577,27685
Cleveland-Cliffs Iron Company,1980,12942,15894
"General Foods, Inc.",1980,62507,59889
GEICO Corporation,1980,47138,105300
Handy & Harman,1980,21825,58435
"Interpublic Group of Companies, Inc.",1980,4531,22135
Kaiser Aluminum & Chemical Corp.,1980,20629,27569
Media General,1980,4545,8334
National Detroit Corporation,1980,5930,6299
National Student Marketing,1980,5128,5895
"Ogilvy & Mather International, Inc.",1980,3709,9981
"Pinkerton's, Inc.",1980,12144,16489
"R. J. Reynolds Industries, Inc.",1980,8702,11228
SAFECO Corporation,1980,32062,45177
The Times Mirror Company,1980,4447,6271
The Washington Post Company,1980,10628,42277
E W Woolworth Company,1980,13583,16511
All Other Holdings,1980,26313,32096
"Affiliated Publications, Inc.",1981,3297,14114
Aluminum Company of America,1981,19359,18031
Arcata Corporation,1981,14076,15136
Cleveland-Cliffs Iron Company,1981,12942,14362
GATX Corporation,1981,17147,13466
"General Foods, Inc.",1981,66277,66714
GEICO Corporation,1981,47138,199800
Handy & Harman,1981,21825,36270
"Interpublic Group of Companies, Inc.",1981,4531,23202
Media General,1981,4545,11088
Ogilvy & Mather International Inc.,1981,3709,12329
"Pinkerton's, Inc.",1981,12144,19675
"R. J. Reynolds Industries, Inc.",1981,76668,83127
SAFECO Corporation,1981,21329,31016
The Washington Post Company,1981,10628,58160
All Other Holdings,1981,16131,22739
"Affiliated Publications, Inc.",1982,3516,16929
Crum & Forster,1982,47144,48962
"General Foods, Inc.",1982,66277,83680
GEICO Corporation,1982,47138,309600
Handy & Harman,1982,27318,46692
"Interpublic Group of Companies, Inc.",1982,4531,34314
Media General,1982,4545,12289
Ogilvy & Mather International Inc.,1982,3709,17319
R. J. Reynolds Industries,1982,142343,158715
"Time, Inc.",1982,45273,79824
The Washington Post Company,1982,10628,103240
All Other Holdings,1982,21611,34058
"Affiliated Publications, Inc.",1983,3516,26603
General Foods Corporation,1983,163786,228698
GEICO Corporation,1983,47138,398156
Handy & Harman,1983,27318,42231
"Interpublic Group of Companies, Inc.",1983,4056,33088
Media General,1983,3191,11191
Ogilvy & Mather International,1983,2580,12833
"R. J. Reynolds Industries, Inc.",1983,268918,341334
"Time, Inc.",1983,27732,56860
The Washington Post Company,1983,10628,136875
All Other Holdings,1983,7485,18044
"Affiliated Publications, Inc.",1984,3516,32908
"American Broadcasting Companies, Inc.",1984,44416,46738
Exxon Corporation,1984,173401,175307
General Foods Corporation,1984,149870,226137
GEICO Corporation,1984,45713,397300
Handy & Harman,1984,27318,38662
"Interpublic Group of Companies, Inc.",1984,2570,28149
Northwest Industries,1984,26581,27242
"Time, Inc.",1984,89327,109162
The Washington Post Company,1984,10628,149955
"Affiliated Publications, Inc.",1985,3516,55710
"American Broadcasting Companies, Inc.",1985,54435,108997
"Beatrice Companies, Inc.",1985,106811,108142
GEICO Corporation,1985,45713,595950
Handy & Harman,1985,27318,43718
"Time, Inc.",1985,20385,52669
The Washington Post Company,1985,9731,205172
All Other Holdings,1985,7201,27963
"Capital Cities/ABC, Inc.",1986,515775,801694
GEICO Corporation,1986,45713,674725
Handy & Harman,1986,27318,46989
"Lear Siegler, Inc.",1986,44064,44587
The Washington Post Company,1986,9731,269531
All Other Holdings,1986,12763,36507
"Capital Cities/ABC, Inc.",1987,517500,1035000
